set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-008327,"Kid, Bright Pink Torso, Medium Lavender Legs, Medium Nougat Hair",4,https://cdn.rebrickable.com/media/sets/fig-008327/105914.jpg,https://rebrickable.com/minifigs/fig-008327/kid-bright-pink-torso-medium-lavender-legs-medium-nougat-hair/,2020-05-27T17:08:03.738002Z
fig-008328,"Tan Torso Sweater, Dark Green Legs, Dark Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008328/105638.jpg,https://rebrickable.com/minifigs/fig-008328/tan-torso-sweater-dark-green-legs-dark-brown-hair/,2020-05-27T17:08:09.597070Z
fig-008329,"Mechanic, Medium Blue Torso, Blue Overall, Blu Cap with Hair",4,https://cdn.rebrickable.com/media/sets/fig-008329/105640.jpg,https://rebrickable.com/minifigs/fig-008329/mechanic-medium-blue-torso-blue-overall-blu-cap-with-hair/,2020-05-27T17:08:10.530964Z
fig-008330,"Mechanic, Medium Blue Torso, Blue Overall, Blue Hat",4,https://cdn.rebrickable.com/media/sets/fig-008330/105634.jpg,https://rebrickable.com/minifigs/fig-008330/mechanic-medium-blue-torso-blue-overall-blue-hat/,2020-05-27T17:08:10.119374Z
fig-008331,"White Torso Lab Coat, Sand Blue Legs, Light Bluish Grey Legs",4,https://cdn.rebrickable.com/media/sets/fig-008331/105643.jpg,https://rebrickable.com/minifigs/fig-008331/white-torso-lab-coat-sand-blue-legs-light-bluish-grey-legs/,2020-05-27T17:08:08.008788Z
fig-008332,"Dark Red Torso, Tan Legs, Tan Hair",4,https://cdn.rebrickable.com/media/sets/fig-008332/105645.jpg,https://rebrickable.com/minifigs/fig-008332/dark-red-torso-tan-legs-tan-hair/,2020-05-27T17:08:06.882154Z
fig-008333,"Kid, Dark Blue Torso, Dark Green Legs, Blue Cap, Lime Scarf",5,https://cdn.rebrickable.com/media/sets/fig-008333/105619.jpg,https://rebrickable.com/minifigs/fig-008333/kid-dark-blue-torso-dark-green-legs-blue-cap-lime-scarf/,2020-05-27T21:21:06.121707Z
fig-008334,"Medium Lavender Torso, Medium Blue Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008334/105622.jpg,https://rebrickable.com/minifigs/fig-008334/medium-lavender-torso-medium-blue-legs-black-hair/,2020-05-27T21:21:03.782458Z
fig-008335,"Medium Nougat Torso, Dark Blue Legs, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008335/105628.jpg,https://rebrickable.com/minifigs/fig-008335/medium-nougat-torso-dark-blue-legs-reddish-brown-hair/,2020-05-27T17:08:06.409478Z
fig-008336,"Red Torso Plaid, Light Bluish Grey Legs, Hair",4,https://cdn.rebrickable.com/media/sets/fig-008336/105629.jpg,https://rebrickable.com/minifigs/fig-008336/red-torso-plaid-light-bluish-grey-legs-hair/,2020-05-27T21:21:05.258253Z
fig-008337,"Red Torso, Dark Orange Legs, Medium Nougat Hair",4,https://cdn.rebrickable.com/media/sets/fig-008337/105631.jpg,https://rebrickable.com/minifigs/fig-008337/red-torso-dark-orange-legs-medium-nougat-hair/,2020-05-27T21:21:04.599400Z
fig-008338,"Lime Torso, Lime Legs, Bright Light Yellow Hair",4,https://cdn.rebrickable.com/media/sets/fig-008338/107405.jpg,https://rebrickable.com/minifigs/fig-008338/lime-torso-lime-legs-bright-light-yellow-hair/,2020-05-27T17:08:03.008053Z
