inventory_id,setnum,num_parts,set_img_url,quantity
2427,8587-1,44,https://cdn.rebrickable.com/media/sets/8587-1.jpg,1
2427,8588-1,44,https://cdn.rebrickable.com/media/sets/8588-1.jpg,1
2427,8589-1,44,https://cdn.rebrickable.com/media/sets/8589-1.jpg,1
2427,8590-1,44,https://cdn.rebrickable.com/media/sets/8590-1.jpg,1
2427,8591-1,44,https://cdn.rebrickable.com/media/sets/8591-1.jpg,1
2427,8592-1,44,https://cdn.rebrickable.com/media/sets/8592-1.jpg,1
2445,8512-1,36,https://cdn.rebrickable.com/media/sets/8512-1.jpg,1
2445,8514-1,31,https://cdn.rebrickable.com/media/sets/8514-1.jpg,1
2456,3800-1,322,https://cdn.rebrickable.com/media/sets/3800-1.jpg,1
2456,3801-1,45,https://cdn.rebrickable.com/media/sets/3801-1.jpg,1
2456,3804-1,720,https://cdn.rebrickable.com/media/sets/3804-1.jpg,1
2474,5816-1,34,https://cdn.rebrickable.com/media/sets/5816-1.jpg,1
2474,5817-1,11,https://cdn.rebrickable.com/media/sets/5817-1.jpg,1
2474,5818-1,22,https://cdn.rebrickable.com/media/sets/5818-1.jpg,1
2481,4853-1,82,https://cdn.rebrickable.com/media/sets/4853-1.jpg,1
2481,4857-1,238,https://cdn.rebrickable.com/media/sets/4857-1.jpg,1
2488,10131-1,685,https://cdn.rebrickable.com/media/sets/10131-1.jpg,1
2488,4502-1,564,https://cdn.rebrickable.com/media/sets/4502-1.jpg,1
2488,4504-1,997,https://cdn.rebrickable.com/media/sets/4504-1.jpg,1
2514,4443-1,4,https://cdn.rebrickable.com/media/sets/4443-1.jpg,1
2514,4444-1,4,https://cdn.rebrickable.com/media/sets/4444-1.jpg,1
2514,4445-1,4,https://cdn.rebrickable.com/media/sets/4445-1.jpg,1
2514,4446-1,4,https://cdn.rebrickable.com/media/sets/4446-1.jpg,1
2514,4447-1,4,https://cdn.rebrickable.com/media/sets/4447-1.jpg,1
2514,4448-1,4,https://cdn.rebrickable.com/media/sets/4448-1.jpg,1
2514,4449-1,4,https://cdn.rebrickable.com/media/sets/4449-1.jpg,1
2514,4450-1,4,https://cdn.rebrickable.com/media/sets/4450-1.jpg,1
2514,4451-1,4,https://cdn.rebrickable.com/media/sets/4451-1.jpg,1
2514,4452-1,4,https://cdn.rebrickable.com/media/sets/4452-1.jpg,1
2514,4453-1,4,https://cdn.rebrickable.com/media/sets/4453-1.jpg,1
2514,4454-1,6,https://cdn.rebrickable.com/media/sets/4454-1.jpg,1
2514,4455-1,6,https://cdn.rebrickable.com/media/sets/4455-1.jpg,1
2514,4456-1,5,https://cdn.rebrickable.com/media/sets/4456-1.jpg,1
2514,4457-1,4,https://cdn.rebrickable.com/media/sets/4457-1.jpg,1
2514,4458-1,10,https://cdn.rebrickable.com/media/sets/4458-1.jpg,1
2514,4459-1,4,https://cdn.rebrickable.com/media/sets/4459-1.jpg,1
2514,4460-1,7,https://cdn.rebrickable.com/media/sets/4460-1.jpg,1
2514,4461-1,7,https://cdn.rebrickable.com/media/sets/4461-1.jpg,1
2514,4462-1,19,https://cdn.rebrickable.com/media/sets/4462-1.jpg,1
2514,4463-1,16,https://cdn.rebrickable.com/media/sets/4463-1.jpg,1
2514,4464-1,8,https://cdn.rebrickable.com/media/sets/4464-1.jpg,1
2514,4465-1,7,https://cdn.rebrickable.com/media/sets/4465-1.jpg,1
